"Event"	"Reference (Event)"	"ID (Site)"	"ID (Dataset)"	"Site"	"Longitude"	"Latitude"	"Continent"	"Significance T air (July), full dataset Holocene period (WA-PLS)"	"Significance T air (July), full dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, full dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, full dataset (WA-PLS)"	"Significance T air (July), full dataset Holocene period (MAT)"	"Significance T air (July) when partial out annual precip, full dataset Holocene period (MAT)"	"Significance T air (annual mean), full dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), full dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, full dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, full dataset (WA-PLS)"	"Significance T air (annual mean), full dataset Holocene period (MAT)"	"Significance T air (annual mean) when partial out annual precip, full dataset Holocene period (MAT)"	"Significance Precip annual total, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total, full dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, full dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, full dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, full dataset (WA-PLS)"	"Significance Precip annual total, full dataset Holocene period (MAT)"	"Significance Precip annual total when partial out July mean temp, full dataset Holocene period (MAT)"	"Significance Precip annual total when partial out annual mean temp, full dataset Holocene period (MAT)"	"Significance T air (July), July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July), July temperature-tailored dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, July temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, July temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, July temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, July temperature-tailored dataset (WA-PLS)"	"Significance T air (annual mean), annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), annual mean temperature-tailored dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual mean temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, annual mean temperature-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual mean temperature-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual mean temperature-tailored dataset (WA-PLS)"	"Significance T air (July), annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July), annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (July) when partial out annual precip, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (July) when partial out annual precip, annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (annual mean), annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean), annual precipitation-tailored dataset (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance T air (annual mean) when partial out annual precip, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out July mean temp, annual precipitation-tailored dataset (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual precipitation-tailored dataset Holocene period (WA-PLS)"	"Significance Precip annual total when partial out annual mean temp, annual precipitation-tailored dataset (WA-PLS)"
"GABRIEL"	"Neotoma"	830	857	"Saint-Gabriel"	-73.475833	46.275833	"Eastern North America"	0.278	0.301	0.135	0.104	0.034	0.11	0.063	0.076	0.543	0.53	0.006	0.082	0.005	0.004	0.023	0.014	0.206	0.222	0.001	0.008	0.029	0.887	0.875	0.587	0.577	0.031	0.027	0.043	0.033	0.066	0.066	0.781	0.775	0.013	0.012	0.419	0.378	0.392	0.384	0.22	0.224	0.07	0.083	0.574	0.591	0.002	0.007	0.015	0.018	0.222	0.213
"GASS"	"Neotoma"	833	860	"Gass Lake"	-87.733333	44.05	"Eastern North America"	0.009	0.138	0.016	0.084	0.001	0.002	0.033	0.014	0.005	0.012	0.003	0.017	0.412	0.178	0.159	0.219	0.101	0.239	0.088	0.494	0.606	0.012	0.301	0.024	0.142	0.118	0.064	0.015	0.069	0.008	0.011	0.001	0.014	0.107	0.352	0.027	0.146	0.001	0.004	0.001	0.002	0.003	0.001	0.001	0.002	0.058	0.292	0.031	0.09	0.027	0.079
"GER"	"Neotoma"	842	871	"Lac a St-Germain"	-74.370833	45.945833	"Eastern North America"	0.419	0.32	0.023	0.348	0.474	0.21	0.133	0.12	0.199	0.58	0.084	0.103	0.01	0.004	0.01	0.054	0.003	0.191	0.004	0.002	0.002	0.84	0.891	0.382	0.673	0.062	0.031	0.059	0.049	0.227	0.176	0.342	0.62	0.038	0.017	0.107	0.061	0.508	0.486	0.113	0.449	0.169	0.147	0.303	0.643	0.014	0.006	0.015	0.05	0.012	0.233
"GILES"	"Neotoma"	844	873	"Giles"	-75.093185	41.37709	"Eastern North America"	0.518	0.528	0.11	0.113	0.002	0.382	0.911	0.906	0.147	0.139	0.001	0.299	0.506	0.517	0.155	0.175	0.124	0.134	0.002	0.237	0.612	0.001	0.002	0.005	0.003	0.655	0.641	0.24	0.22	0.066	0.055	0.009	0.008	0.988	0.982	0.11	0.12	0.691	0.696	0.403	0.399	0.448	0.431	0.607	0.594	0.42	0.461	0.331	0.319	0.512	0.508
"GLENBORO"	"Neotoma"	849	878	"Jones Lake [Glenboro site]"	-99.28965	49.448	"Eastern North America"	0.511	0.02	0.405	0.195	0.092	0.428	0.521	0.001	0.406	0.001	0.034	0.4	0.438	0.252	0.375	0.402	0.399	0.293	0.002	0.052	0.244	0.444	0.025	0.457	0.227	0.6	0.361	0.513	0.627	0.495	0.001	0.436	0.001	0.57	0.623	0.501	0.474	0.342	0.001	0.036	0.002	0.449	0.001	0.033	0.001	0.068	0.256	0.029	0.024	0.05	0.069
"GOSHEN"	"Neotoma"	940	969	"Goshen Springs"	-86.134167	31.721111	"Eastern North America"	0.824	0.197	0.5	0.001	0.353	0.785	0.639	0.128	0.881	0.052	0.229	0.622	0.375	0.004	0.326	0.003	0.542	0.013	0.376	0.725	0.859	0.78	0.78	0.866	0.034	0.246	0.015	0.466	0.009	0.627	0.953	0.715	0.084	0.439	0.033	0.665	0.003	0.924	0.291	0.607	0.001	0.758	0.195	0.87	0.028	0.38	0.005	0.307	0.001	0.499	0.004
"GOULD"	"Neotoma"	941	971	"Gould Pond"	-69.316667	44.983333	"Eastern North America"	0.477	0.192	0.021	0.012	0.333	0.048	0.21	0.026	0.071	0.021	0.188	0.004	0.044	0.005	0.053	0.007	0.066	0.023	0.001	0.001	0.001	0.55	0.25	0.046	0.021	0.015	0.007	0.032	0.004	0.051	0.01	0.016	0.01	0.102	0.074	0.053	0.032	0.613	0.348	0.082	0.03	0.218	0.073	0.097	0.037	0.008	0.004	0.009	0.002	0.017	0.001
"GRAHAM"	"Neotoma"	943	973	"Graham Lake"	-77.35	45.183333	"Eastern North America"	0.247	0.297	0.001	0.001	0.536	0.061	0.435	0.274	0.009	0.021	0.493	0.023	0.082	0.026	0.02	0.018	0.026	0.021	0.013	0.009	0.008	0.718	0.85	0.345	0.613	0.001	0.001	0.001	0.001	0.004	0.001	0.016	0.099	0.001	0.001	0.005	0.012	0.257	0.328	0.001	0.002	0.369	0.203	0.001	0.006	0.013	0.006	0.004	0.006	0.003	0.003
"GRANDRAP"	"Neotoma"	944	974	"Grand Rapids"	-98.25	53	"Eastern North America"	0.464	0.442	0.434	0.45	0.083	0.101	0.146	0.124	0.126	0.143	0.158	0.149	0.723	0.715	0.581	0.611	0.249	0.237	0.558	0.655	0.443	0.376	0.362	0.285	0.301	0.597	0.591	0.247	0.275	0.121	0.125	0.184	0.149	0.836	0.85	0.91	0.898	0.766	0.761	0.19	0.193	0.177	0.152	0.177	0.166	0.61	0.616	0.431	0.447	0.375	0.367
"GRAS_neotoma"	"Neotoma"	946	976	"Lac Gras"	-67.066667	52.25	"Eastern North America"	0.917	0.907	0.906	0.902	0.506	0.48	0.916	0.91	0.503	0.516	0.316	0.053	0.378	0.372	0.368	0.41	0.281	0.266	0.862	0.747	0.081	0.976	0.973	0.83	0.825	0.683	0.672	0.582	0.577	0.325	0.281	0.275	0.243	0.877	0.857	0.449	0.393	0.406	0.413	0.624	0.587	0.142	0.122	0.252	0.23	0.291	0.273	0.384	0.394	0.48	0.466
"GRAVEL"	"Neotoma"	948	978	"Gravel Ridge"	-62.633333	55.033333	"Eastern North America"	0.233	0.221	0.488	0.476	0.084	0.104	0.842	0.831	0.234	0.268	0.493	0.036	0.329	0.331	0.834	0.831	0.157	0.174	0.012	0.019	0.003	0.166	0.151	0.141	0.122	0.859	0.871	0.348	0.304	0.458	0.431	0.021	0.014	0.525	0.502	0.021	0.019	0.267	0.281	0.836	0.842	0.727	0.741	0.326	0.321	0.206	0.203	0.55	0.566	0.107	0.154
"GREENLK"	"Neotoma"	952	982	"Green Lake"	-85.116667	44.883333	"Eastern North America"	0.121	0.351	0.015	0.018	0.189	0.268	0.686	0.129	0.003	0.025	0.294	0.305	0.024	0.001	0.006	0.001	0.003	0.001	0.004	0.027	0.02	0.074	0.512	0.033	0.155	0.001	0.016	0.001	0.001	0.11	0.002	0.163	0.08	0.003	0.013	0.013	0.034	0.42	0.207	0.17	0.03	0.71	0.041	0.01	0.048	0.011	0.001	0.004	0.001	0.002	0.007
"GRENADIE"	"Neotoma"	956	986	"Grenadier Pond"	-79.47	43.64	"Eastern North America"	0.696	0.654	0.695	0.67	0.002	0.001	0.993	0.992	0.788	0.758	0.026	0.008	0.33	0.331	0.355	0.326	0.224	0.229	0.147	0.162	0.043	0.233	0.199	0.204	0.218	0.316	0.337	0.012	0.014	0.412	0.379	0.372	0.373	0.336	0.364	0.21	0.234	0.732	0.738	0.606	0.59	0.678	0.667	0.64	0.689	0.404	0.388	0.336	0.318	0.478	0.445
"GREYIS"	"Neotoma"	957	987	"Grey Islands"	-55.516667	50.768889	"Eastern North America"	0.086	0.08	0.3	0.263	0.34	0.372	0.362	0.346	0.358	0.345	0.307	0.648	0.023	0.04	0.099	0.109	0.038	0.039	0.267	0.34	0.642	0.081	0.077	0.164	0.145	0.144	0.178	0.33	0.34	0.453	0.489	0.355	0.348	0.742	0.747	0.51	0.522	0.09	0.092	0.561	0.548	0.284	0.284	0.157	0.172	0.017	0.017	0.07	0.078	0.021	0.017
"GUMLIMFT"	"Neotoma"	962	993	"Water Conservation Area 3B, Gumbo Limbo Far Tail"	-80.505556	25.774722	"Eastern North America"	0.094	0.093	0.264	0.268	0.562	0.522	0.005	0.011	0.057	0.06	0.624	0.962	0.011	0.013	0.007	0.002	0.07	0.071	0.603	0.771	0.844	0.814	0.823	0.577	0.581	0.535	0.528	0.386	0.43	0.079	0.079	0.087	0.079	0.475	0.458	0.401	0.395	0.024	0.027	0.027	0.029	0.002	0.005	0.008	0.01	0.077	0.052	0.15	0.148	0.577	0.573
"GUMLIMM"	"Neotoma"	963	994	"Water Conservation Area 3B, Gumbo Limbo Marsh"	-80.511111	25.778889	"Eastern North America"	0.788	0.8	0.496	0.501	0.189	0.588	0.46	0.488	0.086	0.083	0.228	0.513	0.125	0.087	0.099	0.091	0.054	0.042	0.023	0.072	0.052	0.108	0.104	0.329	0.322	0.014	0.01	0.012	0.013	0.838	0.843	0.955	0.959	0.063	0.054	0.131	0.151	0.913	0.915	0.928	0.921	0.626	0.582	0.575	0.605	0.125	0.12	0.144	0.148	0.176	0.175
"GUMLIMNT"	"Neotoma"	964	995	"Water Conservation Area 3B, Gumbo Limbo Near Tail"	-80.561389	25.886944	"Eastern North America"	0.216	0.224	0.396	0.36	0.27	0.728	0.094	0.084	0.03	0.032	0.284	0.753	0.429	0.43	0.634	0.599	0.002	0.004	0.467	0.962	0.959	0.516	0.539	0.561	0.576	0.939	0.952	0.83	0.848	0.08	0.084	0.064	0.076	0.969	0.965	0.591	0.6	0.101	0.085	0.621	0.609	0.052	0.069	0.518	0.526	0.123	0.123	0.421	0.428	0.703	0.714
"HACK"	"Neotoma"	968	999	"Hack Pond"	-78.997222	37.984722	"Eastern North America"	0.005	0.005	0.008	0.014	0.015	0.251	0.001	0.007	0.009	0.019	0.007	0.294	0.101	0.235	0.379	0.793	0.415	0.857	0.002	0.253	0.34	0.016	0.013	0.048	0.007	0.032	0.005	0.246	0.103	0.001	0.001	0.005	0.001	0.037	0.025	0.349	0.283	0.002	0.003	0.01	0.015	0.001	0.004	0.005	0.02	0.092	0.192	0.349	0.631	0.376	0.722
"HAMSLAKE"	"Neotoma"	971	1002	"Hams Lake"	-80.413333	43.236667	"Eastern North America"	0.789	0.641	0.097	0.018	0.542	0.042	0.612	0.425	0.13	0.04	0.232	0.093	0.11	0.106	0.125	0.097	0.125	0.113	0.034	0.025	0.085	0.501	0.428	0.013	0.084	0.001	0.001	0.004	0.01	0.076	0.05	0.001	0.001	0.001	0.001	0.006	0.014	0.791	0.58	0.025	0.001	0.317	0.279	0.006	0.001	0.017	0.021	0.024	0.023	0.019	0.028
"HARRIE"	"Neotoma"	977	1008	"Harrie Lake"	-66.95	52.933333	"Eastern North America"	0.792	0.794	0.667	0.669	0.333	0.196	0.952	0.947	0.612	0.598	0.517	0.065	0.11	0.095	0.095	0.117	0.096	0.076	0.098	0.072	0.017	0.965	0.971	0.145	0.153	0.061	0.043	0.016	0.011	0.163	0.165	0.264	0.267	0.163	0.155	0.368	0.352	0.751	0.744	0.719	0.69	0.403	0.376	0.474	0.476	0.107	0.089	0.124	0.097	0.107	0.123
"HAWKE"	"Neotoma"	979	1010	"Hawke Hills Kettle"	-53.133333	47.322222	"Eastern North America"	0.229	0.227	0.163	0.168	0.225	0.155	0.767	0.743	0.688	0.701	0.497	0.368	0.288	0.285	0.266	0.262	0.278	0.296	0.735	0.392	0.514	0.076	0.059	0.035	0.033	0.986	0.985	0.535	0.57	0.254	0.228	0.915	0.896	0.018	0.018	0.096	0.102	0.032	0.027	0.601	0.559	0.223	0.232	0.819	0.833	0.006	0.007	0.02	0.009	0.029	0.03
"HEBRON_neotoma"	"Neotoma"	996	1028	"Hebron Lake"	-63.033333	58.2	"Eastern North America"	0.001	0.001	0.011	0.009	0.241	0.59	0.752	0.76	0.381	0.376	0.282	0.141	0.638	0.656	0.675	0.672	0.181	0.201	0.525	0.811	0.417	0.037	0.04	0.067	0.066	0.982	0.973	0.834	0.856	0.441	0.436	0.587	0.546	0.647	0.683	0.849	0.858	0.01	0.012	0.047	0.049	0.548	0.563	0.293	0.29	0.846	0.846	0.145	0.13	0.052	0.052
"HEN"	"Neotoma"	1000	1033	"Tourbiere de Lanoraie HENRI"	-73.3	45.988889	"Eastern North America"	0.02	0.026	0.034	0.027	0.157	0.112	0.322	0.298	0.16	0.176	0.089	0.13	0.903	0.909	0.714	0.733	0.448	0.483	0.359	0.63	0.967	0.903	0.9	0.841	0.853	0.174	0.182	0.155	0.17	0.021	0.031	0.148	0.143	0.074	0.045	0.039	0.044	0.054	0.049	0.141	0.123	0.886	0.854	0.608	0.6	0.419	0.397	0.618	0.637	0.255	0.251
"HIGHLAKE"	"Neotoma"	1072	1105	"High Lake"	-76.6	44.516667	"Eastern North America"	0.283	0.339	0.013	0.006	0.822	0.465	0.641	0.546	0.053	0.037	0.52	0.382	0.089	0.104	0.03	0.036	0.053	0.041	0.021	0.027	0.026	0.682	0.659	0.023	0.093	0.001	0.003	0.003	0.002	0.017	0.007	0.007	0.006	0.002	0.001	0.005	0.006	0.352	0.456	0.001	0.001	0.443	0.393	0.003	0.002	0.013	0.016	0.007	0.003	0.006	0.007
"HOSTAGE"	"Neotoma"	1078	1111	"Hostage Lake"	-94.133333	46.55	"Eastern North America"	0.095	0.118	0.128	0.123	0.415	0.095	0.476	0.449	0.491	0.472	0.928	0.15	0.611	0.613	0.316	0.293	0.6	0.594	0.158	0.05	0.031	0.067	0.074	0.083	0.08	0.512	0.517	0.162	0.166	0.999	1	0.998	0.996	0.528	0.516	0.534	0.568	0.357	0.305	0.455	0.476	0.593	0.609	0.684	0.705	0.107	0.104	0.142	0.166	0.121	0.124
"HOWES"	"Neotoma"	1081	1114	"Howes Prairie Marsh"	-87.072222	41.65	"Eastern North America"	0.018	0.024	0.099	0.101	0.878	0.687	0.246	0.238	0.84	0.856	0.241	0.042	0.209	0.198	0.978	0.994	0.545	0.524	0.819	0.802	0.042	0.034	0.035	0.236	0.258	0.039	0.037	0.247	0.23	0.242	0.23	0.256	0.237	0.008	0.013	0.036	0.03	0.016	0.014	0.034	0.044	0.023	0.022	0.065	0.052	0.145	0.159	0.985	0.981	0.965	0.95
"HUDSONLK"	"Neotoma"	1100	1133	"Hudson Lake"	-86.53	41.67	"Eastern North America"	0.003	0.001	0.001	0.004	0.001	0.002	0.001	0.001	0.001	0.002	0.001	0.002	0.029	0.028	0.084	0.278	0.065	0.277	0.063	0.729	0.661	0.074	0.07	0.008	0.076	0.008	0.011	0.023	0.21	0.001	0.001	0.001	0.001	0.026	0.072	0.026	0.134	0.003	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.063	0.105	0.021	0.182	0.002	0.175
"HUMBER3"	"Neotoma"	1102	1135	"Humber Pond 3"	-79.48	43.64	"Eastern North America"	0.243	0.215	0.375	0.365	0.006	0.008	0.998	0.997	0.496	0.513	0.037	0.048	0.017	0.013	0.022	0.028	0.001	0.001	0.141	0.066	0.211	0.03	0.028	0.282	0.294	0.011	0.01	0.186	0.183	0.768	0.746	0.373	0.373	0.004	0.014	0.006	0.005	0.632	0.614	0.723	0.683	0.661	0.658	0.856	0.856	0.035	0.037	0.057	0.047	0.085	0.084
"HUMBER5"	"Neotoma"	1103	1136	"Humber Pond 5"	-79.49	43.64	"Eastern North America"	0.795	0.778	0.899	0.889	0.025	0.016	0.967	0.948	0.81	0.813	0.08	0.043	0.491	0.494	0.546	0.533	0.436	0.449	0.367	0.739	0.595	0.193	0.206	0.049	0.051	0.079	0.075	0.02	0.021	0.025	0.025	0.014	0.011	0.01	0.003	0.003	0.009	0.813	0.83	0.578	0.56	0.612	0.596	0.787	0.792	0.156	0.16	0.196	0.172	0.187	0.177
"HUMBER7"	"Neotoma"	1104	1137	"Humber Pond 7"	-79.5	43.65	"Eastern North America"	0.426	0.43	0.412	0.388	0.001	0.001	0.821	0.838	0.57	0.581	0.001	0.001	0.772	0.81	0.465	0.459	0.431	0.449	0.019	0.016	0.027	0.025	0.027	0.064	0.065	0.619	0.609	0.445	0.408	0.193	0.164	0.349	0.338	0.462	0.463	0.806	0.814	0.877	0.879	0.97	0.947	0.567	0.562	0.841	0.827	0.581	0.59	0.767	0.772	0.859	0.87
"HUSTLER"	"Neotoma"	1105	1138	"Hustler Lake"	-92.16005	48.229815	"Eastern North America"	0.002	0.004	0.008	0.016	0.681	0.565	0.017	0.026	0.007	0.006	0.461	0.289	0.099	0.097	0.338	0.329	0.077	0.072	0.669	0.687	0.52	0.882	0.884	0.801	0.812	0.811	0.829	0.696	0.71	0.361	0.344	0.203	0.178	0.063	0.074	0.061	0.058	0.249	0.263	0.459	0.433	0.048	0.06	0.372	0.37	0.039	0.038	0.083	0.074	0.181	0.184
"HYNES"	"Neotoma"	1106	1139	"Hynes Brook Salt Marsh"	-58.965	48.618611	"Eastern North America"	0.297	0.341	0.264	0.3	0.281	0.029	0.375	0.399	0.079	0.069	0.061	0.011	0.034	0.021	0.023	0.028	0.003	0.002	0.217	0.061	0.092	0.553	0.559	0.738	0.761	0.665	0.689	0.916	0.919	0.017	0.007	0.032	0.022	0.816	0.837	0.41	0.421	0.082	0.085	0.297	0.264	0.002	0.001	0.003	0.007	0.23	0.238	0.72	0.742	0.237	0.22
"IGLUTALK"	"Neotoma"	1109	1142	"Iglutalik Lake"	-66.083333	66.135	"Eastern North America"	0.049	0.041	0.108	0.102	0.261	0.224	0.97	0.974	0.113	0.12	0.881	0.308	0.191	0.178	0.6	0.593	0.043	0.038	0.403	0.433	0.08	0.22	0.215	0.065	0.076	0.552	0.542	0.098	0.08	0.515	0.498	0.28	0.273	0.295	0.318	0.256	0.242	0.035	0.04	0.049	0.04	0.222	0.191	0.057	0.06	0.539	0.503	0.843	0.823	0.184	0.193
"INDIAN"	"Neotoma"	1113	1147	"Indian Lake"	-90.45	50.916667	"Eastern North America"	0.278	0.284	0.324	0.363	0.036	0.053	0.4	0.37	0.277	0.256	0.023	0.018	0.069	0.085	0.173	0.193	0.126	0.146	0.291	0.411	0.466	0.263	0.254	0.147	0.138	0.08	0.084	0.129	0.13	0.197	0.158	0.239	0.256	0.154	0.128	0.269	0.265	0.526	0.514	0.379	0.347	0.485	0.486	0.167	0.191	0.181	0.188	0.184	0.175	0.199	0.205
"INGLESBY"	"Neotoma"	1115	1149	"Inglesby Lake"	-77.05	44.483333	"Eastern North America"	0.306	0.343	0.124	0.142	0.118	0.298	0.082	0.064	0.122	0.11	0.111	0.241	0.145	0.124	0.242	0.281	0.45	0.444	0.403	0.759	0.639	0.363	0.35	0.278	0.292	0.011	0.014	0.005	0.005	0.002	0.001	0.012	0.01	0.083	0.076	0.15	0.13	0.23	0.218	0.001	0.004	0.006	0.009	0.001	0.001	0.097	0.1	0.055	0.056	0.125	0.116
"IRVIN"	"Neotoma"	1119	1153	"Irvin Lake"	-93.643611	47.135556	"Eastern North America"	0.151	0.275	0.006	0.007	0.154	0.051	0.116	0.133	0.05	0.054	0.037	0.054	0.04	0.042	0.027	0.039	0.051	0.062	0.003	0.019	0.046	0.075	0.202	0.007	0.002	0.004	0.011	0.006	0.009	0.021	0.05	0.004	0.005	0.017	0.025	0.012	0.027	0.019	0.082	0.001	0.001	0.102	0.091	0.025	0.024	0.005	0.007	0.004	0.006	0.006	0.005
"JACKLAKE"	"Neotoma"	1123	1157	"Jack Lake"	-81.766667	47.316667	"Eastern North America"	0.154	0.167	0.002	0.006	0.018	0.004	0.125	0.127	0.004	0.002	0.007	0.004	0.022	0.016	0.018	0.011	0.014	0.017	0.033	0.004	0.005	0.141	0.158	0.518	0.543	0.019	0.01	0.262	0.233	0.475	0.485	0.595	0.608	0.058	0.051	0.178	0.185	0.156	0.165	0.004	0.007	0.143	0.144	0.001	0.001	0.018	0.015	0.025	0.018	0.007	0.013
"JACKSON_neotoma"	"Neotoma"	1125	1160	"Jackson Pond"	-85.72462	37.43255	"Eastern North America"	0.002	0.001	0.002	0.007	0.001	0.001	0.001	0.001	0.001	0.037	0.001	0.002	0.009	0.006	0.058	0.211	0.031	0.305	0.016	0.131	0.25	0.001	0.001	0.002	0.058	0.003	0.001	0.031	0.366	0.001	0.001	0.001	0.043	0.004	0.001	0.032	0.315	0.002	0.001	0.014	0.003	0.001	0.001	0.005	0.01	0.003	0.017	0.063	0.073	0.072	0.194
"JBL004"	"Neotoma"	1136	1171	"James Bay"	-80.2	50.22	"Eastern North America"	0.525	0.536	0.616	0.614	0.106	0.16	0.647	0.637	0.862	0.861	0.359	0.235	0.466	0.439	0.627	0.614	0.748	0.73	0.829	0.866	0.59	0.61	0.614	0.589	0.562	0.949	0.936	0.91	0.903	0.018	0.018	0.045	0.032	0.82	0.837	0.848	0.837	0.659	0.664	0.856	0.86	0.836	0.878	0.924	0.902	0.413	0.403	0.643	0.66	0.521	0.534
"JEAN"	"Neotoma"	1219	1254	"Saint-Jean Ile d'Orleans"	-70.932778	46.932778	"Eastern North America"	0.799	0.808	0.252	0.253	0.02	0.037	0.224	0.243	0.206	0.199	0.001	0.023	0.101	0.098	0.095	0.098	0.123	0.109	0.081	0.05	0.231	0.317	0.336	0.128	0.134	0.124	0.125	0.005	0.01	0.008	0.009	0.016	0.005	0.255	0.246	0.056	0.093	0.591	0.579	0.135	0.144	0.302	0.288	0.143	0.134	0.062	0.079	0.05	0.048	0.071	0.074
"JEWELL"	"Neotoma"	1220	1255	"Jewell Site"	-93.7	42.26	"Eastern North America"	0.842	0.274	0.02	0.006	0.031	0.019	0.684	0.04	0.013	0.001	0.167	0.002	0.001	0.068	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.553	0.313	0.014	0.008	0.001	0.079	0.001	0.001	0.628	0.022	0.004	0.001	0.001	0.049	0.001	0.001	0.665	0.29	0.02	0.005	0.655	0.009	0.009	0.001	0.001	0.069	0.001	0.001	0.001	0.001
"JOES3"	"Neotoma"	1356	1391	"Joes Pond"	-58.24	48.24	"Eastern North America"	0.227	0.037	0.039	0.131	0.529	0.672	0.298	0.13	0.1	0.425	0.344	0.35	0.149	0.007	0.129	0.007	0.14	0.015	0.537	0.553	0.461	0.198	0.037	0.021	0.145	0.145	0.019	0.112	0.014	0.241	0.215	0.011	0.406	0.071	0.075	0.032	0.125	0.22	0.047	0.041	0.198	0.302	0.093	0.139	0.495	0.196	0.002	0.11	0.012	0.167	0.033
"JON"	"Neotoma"	1358	1393	"Tourbiere du lac Joncas"	-71.162778	47.257778	"Eastern North America"	0.179	0.17	0.102	0.103	0.001	0.004	0.205	0.225	0.293	0.289	0.001	0.009	0.058	0.056	0.011	0.01	0.037	0.03	0.035	0.16	0.227	0.424	0.445	0.284	0.283	0.368	0.335	0.162	0.188	0.142	0.175	0.269	0.247	0.278	0.277	0.168	0.18	0.482	0.496	0.366	0.386	0.537	0.528	0.583	0.529	0.123	0.113	0.084	0.079	0.116	0.129
"JOS"	"Neotoma"	1362	1397	"Tourbiere de Lanoraie JOSEPH"	-73.302778	45.991944	"Eastern North America"	0.105	0.112	0.001	0.002	0.016	0.014	0.054	0.064	0.001	0.001	0.008	0.001	0.016	0.016	0.028	0.021	0.032	0.023	0.013	0.123	0.051	0.145	0.119	0.009	0.005	0.001	0.002	0.001	0.001	0.007	0.004	0.01	0.01	0.003	0.005	0.001	0.001	0.088	0.096	0.001	0.001	0.014	0.012	0.001	0.002	0.005	0.004	0.003	0.003	0.008	0.012
"KAN"	"Neotoma"	1400	1437	"Kanaaupscow"	-76.643889	54.027778	"Eastern North America"	0.566	0.55	0.316	0.302	0.001	0.023	0.465	0.455	0.597	0.606	0.096	0.021	0.003	0.003	0.01	0.009	0.018	0.011	0.022	0.565	0.002	0.028	0.035	0.148	0.124	0.007	0.007	0.183	0.198	0.005	0.004	0.031	0.026	0.44	0.43	0.588	0.591	0.438	0.437	0.343	0.352	0.014	0.016	0.327	0.344	0.032	0.027	0.205	0.233	0.559	0.531
"KELLHOL1"	"Neotoma"	1410	1447	"Kellys Hollow"	-90.35	45.3	"Eastern North America"	0.18	0.157	0.13	0.138	0.004	0.004	0.012	0.005	0.004	0.006	0.01	0.004	0.373	0.377	0.198	0.196	0.05	0.044	0.249	0.202	0.155	0.18	0.15	0.13	0.128	0.232	0.237	0.063	0.067	0.112	0.149	0.083	0.115	0.214	0.235	0.072	0.079	0.433	0.429	0.334	0.35	0.015	0.01	0.005	0.005	0.308	0.316	0.258	0.26	0.033	0.035
