"Event"	"Reference (Event)"	"ID (Site)"	"ID (Dataset)"	"Site"	"Longitude"	"Latitude"	"Continent"	"modern training sites [#], full dataset"	"minimum modern T air (July) [°C], full dataset"	"maximum modern T air (July) [°C], full dataset"	"minimum modern T air (annual mean) [°C], full dataset"	"maximum modern T air (annual mean) [°C], full dataset"	"minimum modern Precip annual total [mm/a], full dataset"	"maximum modern Precip annual total [mm/a], full dataset"	"WA-PLS component T air (July), full dataset"	"WA-PLS r2 observed vs. predicted T air (July), full dataset"	"WA-PLS RMSEP T air (July), full dataset"	"MAT r2 observed vs. predicted T air (July), full dataset"	"MAT RMSEP T air (July), full dataset"	"WA-PLS component T air (annual mean), full dataset"	"WA-PLS r2 observed vs. predicted T air (annual mean), full dataset"	"WA-PLS RMSEP T air (annual mean), full dataset"	"MAT r2 observed vs. predicted T air (annual mean), full dataset"	"MAT RMSEP T air (annual mean), full dataset"	"WA-PLS component Precip annual total, full dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, full dataset"	"WA-PLS RMSEP Precip annual total, full dataset"	"MAT r2 observed vs. predicted Precip annual total, full dataset"	"MAT RMSEP Precip annual total, full dataset"	"minimum modern T air (July) [°C], after tailoring"	"maximum modern T air (July) [°C], after tailoring"	"minimum modern T air (annual mean) [°C], after tailoring"	"maximum modern T air (annual mean) [°C], after tailoring"	"minimum modern Precip annual total [mm/a], after tailoring"	"maximum modern Precip annual total [mm/a], after tailoring"	"modern training sites [#], July temperature-tailored dataset"	"minimum modern T air (July) [°C], July temperature-tailored dataset"	"maximum modern T air (July) [°C], July temperature-tailored dataset"	"minimum modern Precip annual total [mm/a], July temperature-tailored dataset"	"maximum modern Precip annual total [mm/a], July temperature-tailored dataset"	"WA-PLS component T air (July), July temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (July), July temperature-tailored dataset"	"WA-PLS RMSEP T air (July), July temperature-tailored dataset"	"WA-PLS component Precip annual total, July temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, July temperature-tailored dataset"	"WA-PLS RMSEP Precip annual total, July temperature-tailored dataset"	"modern training sites [#], annual mean temperature-tailored dataset"	"minimum modern T air (annual mean) [°C], annual mean temperature-tailored dataset"	"maximum modern T air (annual mean) [°C], annual mean temperature-tailored dataset"	"minimum modern Precip annual total [mm/a], annual mean temperature-tailored dataset"	"maximum modern Precip annual total [mm/a], annual mean temperature-tailored dataset"	"WA-PLS component T air (annual mean), annual mean temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (annual mean), annual mean temperature-tailored dataset"	"WA-PLS RMSEP T air (annual mean), annual mean temperature-tailored dataset"	"WA-PLS component Precip annual total, annual mean temperature-tailored dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, annual mean temperature-tailored dataset"	"WA-PLS RMSEP Precip annual total, annual mean temperature-tailored dataset"	"modern training sites [#], annual precipitation-tailored dataset"	"minimum modern T air (July) [°C], annual precipitation-tailored dataset"	"maximum modern T air (July) [°C], annual precipitation-tailored dataset"	"minimum modern T air (annual mean) [°C], annual precipitation-tailored dataset"	"maximum modern T air (annual mean) [°C], annual precipitation-tailored dataset"	"minimum modern Precip annual total [mm/a], annual precipitation-tailored dataset"	"maximum modern Precip annual total [mm/a], annual precipitation-tailored dataset"	"WA-PLS component T air (July), annual precipitation-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (July), annual precipitation-tailored dataset"	"WA-PLS RMSEP T air (July), annual precipitation-tailored dataset"	"WA-PLS component T air (annual mean), annual precipitation-tailored dataset"	"WA-PLS r2 observed vs. predicted T air (annual mean), annual precipitation-tailored dataset"	"WA-PLS RMSEP T air (annual mean), annual precipitation-tailored dataset"	"WA-PLS component Precip annual total, annual precipitation-tailored dataset"	"WA-PLS r2 observed vs. predicted Precip annual total, annual precipitation-tailored dataset"	"WA-PLS RMSEP Precip annual total, annual precipitation-tailored dataset"
"Venyukovka-2"	"Neotoma"	2809	2906	"Venyukovka-2 Exposure"	138.583333	47.033333	"Asia"	1687	8.2	27.5	-16.5	19.1	196	3486	1	0.55	2.32	0.75	1.75	2	0.8	3.37	0.88	2.64	2	0.86	242.13	0.9	205.46	16.4	17.6	-4.6	-0.5	436	733	271	16.4	17.6	248	2547	1	0	0.38	2	0.88	202.26	283	-4.6	-0.5	280	2192	2	0.44	0.92	1	0.44	142.06	365	9.3	27.1	-9.8	13.4	436	732	2	0.62	2.16	2	0.7	2.49	2	0.52	58.28
"Venyukovka-3"	"Neotoma"	2810	2907	"Venyukovka-3 Exposure"	138.583333	47.116667	"Asia"	1686	8.2	27.5	-16.5	19.1	196	3486	1	0.55	2.33	0.74	1.77	2	0.79	3.37	0.88	2.64	2	0.85	241.12	0.9	204.74	16.1	17.5	-6	-0.2	403	688	248	16.1	17.4	248	2535	1	0.1	0.38	1	0.87	209.83	303	-5.8	-0.2	280	2192	2	0.43	1.01	1	0.46	139.08	400	9.3	27.1	-9.8	13.4	403	686	2	0.69	2.1	2	0.71	2.53	1	0.5	56.94
"VOSTOK_neotoma"	"Neotoma"	2823	2920	"Vostok Gulf"	132.75	42.9	"Asia"	1588	8.2	28.5	-10	19.1	107	3486	2	0.55	2.2	0.69	1.85	2	0.71	2.91	0.82	2.34	2	0.84	253.83	0.89	209.56	18.9	20.4	3.3	6.9	821	1131	408	18.9	20.4	197	3421	1	0.02	0.42	2	0.83	201.1	452	3.4	6.9	107	2209	1	0.24	0.93	2	0.86	179.18	114	13.2	28.5	-4.6	16.1	822	1128	2	0.89	1.55	2	0.86	1.98	2	0.47	74.57
"Wrangel_Island_wr12"	"Neotoma"	2942	3040	"Wrangel Island Exposure 12"	-179.75	71.166667	"Asia"	1040	0.9	16.5	-16.5	1.8	109	1033	1	0.32	2.12	0.55	1.74	2	0.47	3.01	0.65	2.47	1	0.2	100.58	0.44	84.53	6.8	10.2	-19.8	-11.6	65	338	126	6.9	10.1	112	658	1	0.1	0.87	1	0.42	81.72	362	-16.5	-11.6	109	386	1	0.18	1.08	1	0.2	50.39	785	0.9	16.5	-16.5	-2	109	337	1	0.36	2.22	2	0.74	1.76	1	0.2	51.89
"DIMA1"	"Neotoma"	672	3077	"Kirgirlakh Stream, Berelyekh River Basin"	147.983333	62.666667	"Asia"	921	0.9	21.5	-16.5	5.8	136	1128	2	0.48	2.6	0.63	2.18	1	0.66	3.15	0.71	2.93	1	0.66	113.17	0.72	103.15	11.2	14.5	-12.9	-10.4	231	331	312	11.2	14.4	148	925	1	0.11	0.79	2	0.66	87.14	278	-12.9	-10.4	148	391	1	0.53	0.61	2	0.4	51.38	343	0.9	18.7	-16.5	-7.7	231	329	2	0.54	2.36	1	0.38	1.51	1	0.15	25.49
"DIMA2"	"Neotoma"	672	3078	"Kirgirlakh Stream, Berelyekh River Basin"	147.983333	62.666667	"Asia"	921	0.9	21.5	-16.5	5.8	136	1128	2	0.48	2.6	0.63	2.18	1	0.66	3.15	0.71	2.93	1	0.66	113.17	0.72	103.15	11.1	14.6	-13.3	-9.8	218	349	339	11.1	14.6	148	925	1	0.12	0.88	2	0.68	85.4	367	-13.3	-9.8	148	391	1	0.4	0.82	1	0.26	50.9	393	0.9	18.7	-16.5	-7.7	219	348	2	0.54	2.35	1	0.33	1.59	1	0.09	31.3
"DIMA3"	"Neotoma"	672	3079	"Kirgirlakh Stream, Berelyekh River Basin"	147.983333	62.666667	"Asia"	921	0.9	21.5	-16.5	5.8	136	1128	2	0.48	2.6	0.63	2.18	1	0.66	3.15	0.71	2.93	1	0.66	113.17	0.72	103.15	10.1	14.7	-13.8	-10.5	199	325	437	10.1	14.7	148	1058	2	0.29	1.12	2	0.56	101.6	302	-13.7	-10.5	148	391	1	0.32	0.82	1	0.35	53.46	412	0.9	18.7	-16.5	-7.7	201	325	1	0.49	2.45	1	0.39	1.51	1	0.16	31.57
"DIMA4"	"Neotoma"	672	3080	"Kirgirlakh Stream, Berelyekh River Basin"	147.983333	62.666667	"Asia"	921	0.9	21.5	-16.5	5.8	136	1128	2	0.48	2.6	0.63	2.18	1	0.66	3.15	0.71	2.93	1	0.66	113.17	0.72	103.15	12	14.7	-11.9	-11	273	303	306	12	14.7	149	904	1	0.13	0.78	2	0.65	92.75	46	-11.9	-11.1	149	391	1	0.39	0.22	2	0.78	38.72	107	0.9	18.3	-14.2	-7.7	274	302	1	0.45	3.17	2	0.46	1.07	1	0.14	7.13
"OROKESS"	"Neotoma"	1779	3499	"Orokess River Mouth Exposure 4036"	142	48.85	"Asia"	1366	8.2	26.7	-16.5	17.7	215	3192	2	0.57	2.26	0.73	1.78	2	0.8	3.41	0.88	2.69	2	0.85	209.93	0.88	190.1	14.5	21.1	-7.9	6.5	303	940	896	14.6	21	215	3192	1	0.31	1.34	2	0.84	188.85	823	-7.8	6.5	215	2192	2	0.69	2.05	2	0.83	157.83	735	9.3	24.3	-14.7	9.8	305	928	1	0.63	1.93	2	0.66	2.72	2	0.73	86.18
"STAD2"	"Neotoma"	2511	3776	"Stadukhinskaya Protoka Channel (Alas section)"	159.5	68.666667	"Asia"	917	0.9	18.7	-16.5	1.9	109	1058	1	0.42	2.46	0.63	1.96	2	0.41	2.91	0.56	2.52	1	0.28	99.97	0.45	86.99	11.3	12.6	-11.4	-6.7	258	359	171	11.4	12.6	148	925	1	0.07	0.32	1	0.38	99.11	305	-11.3	-6.7	127	644	1	0.12	1.01	2	0.52	51.93	290	0.9	18.7	-16.5	-2.5	259	359	2	0.57	2.34	2	0.55	1.85	1	0.1	23.71
"ACHIT8"	"Neotoma"	2962	3861	"Achit-Nur"	90.49975	49.48079	"Asia"	2339	-2.2	33	-15.8	14.8	15	992	1	0.5	4.34	0.64	3.66	1	0.4	3.91	0.6	3.22	2	0.62	105.85	0.76	85.2	15.5	21	-0.8	4.5	84	318	829	15.6	20.9	27	828	1	0.15	1.24	2	0.73	81.15	850	-0.7	4.5	28	828	1	0.17	1.27	2	0.65	98.42	960	-0.5	29.7	-13.5	13	85	318	1	0.48	4.27	1	0.53	3.54	1	0.26	53.24
"BAIDARA"	"Neotoma"	2994	3898	"Baidara"	66.9	68.85	"Asia"	1555	-2.5	21.7	-18.4	5.2	167	1362	2	0.7	1.81	0.79	1.53	2	0.67	2.92	0.79	2.32	2	0.42	100.93	0.72	69.29	9.5	18.1	-13.1	3.4	307	690	1098	9.6	18	181	1362	1	0.61	1.48	2	0.46	97.05	1350	-12.9	3.4	261	1362	1	0.47	2.69	1	0.28	96.96	1339	3.5	21.6	-12.2	5.2	307	690	2	0.67	1.64	1	0.49	2.66	1	0.35	68.94
"BOGUDA"	"Neotoma"	3029	3945	"Lake Boguda"	123.24559	63.66731	"Asia"	1227	-2.5	23.7	-18.4	5	136	904	1	0.54	2.5	0.69	2.05	1	0.67	3.04	0.76	2.62	1	0.61	93.39	0.72	78.9	13.7	18.7	-10.3	-3.4	292	498	586	13.7	18.6	154	852	1	0.3	1.21	2	0.66	88.27	292	-10.3	-3.4	236	904	1	0.39	1.92	1	0.18	94.81	449	5.1	23.7	-15.1	5	292	497	2	0.67	1.95	2	0.65	2.7	1	0.17	59.1
"BUGRIST"	"Neotoma"	3038	3956	"Bugristoe"	85.166667	58.25	"Asia"	2119	3.3	33	-15.1	14.8	15	992	2	0.54	3.28	0.7	2.65	2	0.66	3.06	0.77	2.53	2	0.61	103.54	0.79	76.08	-1.4	25.6	-20.4	8.9	120	772	2055	3.3	25.6	46	992	1	0.5	3.14	2	0.6	102.92	2073	-15.1	8.8	51	992	2	0.66	2.87	2	0.6	102.65	2024	3.3	29.1	-15.1	11.8	121	770	1	0.55	3.16	2	0.67	2.93	2	0.61	93.99
"CHABADA1"	"Neotoma"	346	3975	"Chabada Lake"	129.377875	61.976835	"Asia"	1212	2.7	24.1	-16.5	6.3	136	1063	1	0.56	2.53	0.7	2.08	1	0.69	3.24	0.76	2.9	1	0.65	100.51	0.73	88.1	12.2	16	-11.6	-6.8	289	427	376	12.3	16	149	904	1	0.27	0.9	2	0.77	97.2	255	-11.6	-7	149	644	1	0.22	0.86	1	0.26	73.57	344	5.1	24	-15.1	6.1	289	426	2	0.72	1.99	2	0.74	2.59	1	0.26	39.42
"CHERNOE"	"Neotoma"	3054	3984	"Chernoe Lake"	106.64653	50.964745	"Asia"	2519	-2	33	-15.4	14.8	15	992	1	0.49	3.89	0.67	3.14	2	0.59	3.53	0.69	3.08	2	0.56	113.38	0.66	99.83	13.6	17.9	-2.8	-0.8	348	545	751	13.6	17.8	40	828	1	0.09	1.12	2	0.63	97.2	329	-2.8	-0.8	65	992	1	0.06	0.58	1	0.49	111.21	801	2.8	27.6	-9.8	13.7	349	545	2	0.7	2.92	2	0.64	2.9	1	0.31	48.59
"CHERNYAR"	"Neotoma"	3055	3985	"Cherny Yar"	161	56.066667	"Asia"	748	0.9	21.4	-16.5	7.1	148	1411	2	0.49	2.29	0.62	1.97	2	0.82	2.87	0.85	2.61	2	0.83	122.08	0.88	106.86	11.5	14.1	-12.1	-7.2	242	448	247	11.6	14.1	148	1411	1	0.11	0.67	2	0.78	101.97	219	-12	-7.4	149	422	1	0.13	0.81	2	0.42	48.12	292	0.9	18.7	-16.5	-2.6	242	438	1	0.49	2.24	1	0.25	2.37	1	0.36	50.3
"DABA8"	"Neotoma"	3076	4010	"Daba-Nur"	98.76251	48.18924	"Asia"	2582	-2	33	-15.4	14.8	15	992	1	0.56	3.95	0.71	3.18	1	0.5	3.58	0.66	2.97	1	0.55	115.96	0.71	93.64	11	19.3	-2.6	1.5	264	393	1139	11.1	19.2	40	992	1	0.29	2	2	0.58	110.65	767	-2.6	1.4	58	858	1	0.1	1.08	1	0.55	101.98	757	-2	26	-15.4	10.2	265	393	2	0.7	3.29	2	0.61	2.77	1	0.05	34.42
"DOOD4"	"Neotoma"	3085	4020	"Dood-Nur"	99.383333	51.333333	"Asia"	2471	-2	33	-15.4	14.8	15	992	1	0.54	3.87	0.69	3.14	2	0.57	3.36	0.68	2.9	2	0.56	105.15	0.68	89.74	13	17.4	-4.3	-0.7	327	446	610	13	17.3	46	828	1	0.1	1.19	2	0.66	88.02	651	-4.3	-0.7	65	992	1	0.1	1	2	0.56	96.08	561	2.8	27.6	-9.8	13.3	328	445	2	0.73	3.13	2	0.65	2.8	1	0.19	30.67
"ERAVNOE"	"Neotoma"	3095	4030	"Bol'shoe Eravnoe Lake"	111.5005	52.6242	"Asia"	2340	-2	33	-15.4	14.8	15	992	2	0.51	3.16	0.66	2.62	2	0.65	3.24	0.75	2.75	2	0.68	105.94	0.76	92.61	17	20.3	-3.7	-1.4	370	506	954	17	20.3	90	866	1	0.3	0.85	2	0.75	93.89	346	-3.7	-1.4	82	992	1	0.13	0.62	2	0.6	104.26	485	2.8	27.6	-9.2	13.3	371	506	2	0.65	2.71	2	0.63	2.82	1	0.22	35.45
"GUNNUR"	"Neotoma"	3137	4081	"Gun-Nur"	106.6188	50.2618	"Asia"	2567	-2	33	-15.4	14.8	15	992	1	0.52	3.89	0.69	3.14	2	0.58	3.51	0.68	3.08	2	0.56	116.72	0.67	101.07	14.2	19.9	-4	0.4	261	450	1110	14.2	19.9	40	864	1	0.12	1.42	2	0.57	98.66	728	-4	0.4	65	992	1	0.08	1.24	1	0.49	115.31	1005	-2	27.6	-15.4	13.3	262	449	2	0.7	3.11	2	0.66	2.97	1	0.13	48.33
"HOTON"	"Neotoma"	3149	4097	"Hoton-Nur"	88.28455	48.67256	"Asia"	2291	-2.2	33	-15.8	14.8	15	992	1	0.5	4.34	0.64	3.65	1	0.4	3.9	0.6	3.18	2	0.64	102.34	0.76	83.33	7	24.2	-7.3	7.7	-98	672	1873	7.1	24.1	27	992	1	0.45	3.3	2	0.64	101.58	1912	-7.3	7.7	27	992	1	0.34	2.86	2	0.61	102.94	2242	-2.2	33	-15.8	14.8	15	671	1	0.5	4.35	1	0.41	3.9	2	0.65	93.73
"HUBSUGUL_neotoma"	"Neotoma"	3154	4102	"Hubsugul"	100.22665	50.6286	"Asia"	2457	-2	33	-15.4	14.8	15	992	1	0.54	3.94	0.7	3.19	1	0.51	3.56	0.67	2.94	1	0.52	117.78	0.7	94.17	12.8	19	-4.2	-0.3	410	550	943	12.8	19	40	828	1	0.2	1.56	2	0.66	91.41	695	-4.2	-0.3	65	992	1	0.11	1.1	1	0.48	108.65	564	2.8	27.6	-9.5	13.7	412	550	1	0.67	3.08	2	0.67	3	1	0.16	35.11
"KARASEOZ"	"Neotoma"	3182	4138	"Karasieozerskoe"	60.75	56.766667	"Asia"	1948	5.8	31.7	-11.1	16.6	98	1218	2	0.65	2.07	0.73	1.83	2	0.59	2.85	0.7	2.44	2	0.53	92.84	0.7	74.74	14.4	19.9	-3.4	4	398	586	1284	14.4	19.8	172	958	2	0.44	0.98	1	0.45	76.97	1148	-3.3	4	222	1218	1	0.31	1.43	2	0.52	81.34	957	5.8	26.2	-11.1	10.4	399	586	2	0.67	1.68	2	0.64	2.59	1	0.14	47.9
"MAKSIMKI"	"Neotoma"	3268	4245	"Maksimkin Yar"	86.785515	58.695235	"Asia"	2090	3.3	33	-15.1	14.8	15	992	1	0.49	3.43	0.7	2.64	2	0.66	3.05	0.77	2.51	2	0.61	104.9	0.79	76.96	8.3	20.9	-11.8	6.7	302	763	1748	8.3	20.8	90	992	1	0.43	2.3	2	0.58	104.23	1887	-11.3	6.7	58	992	1	0.51	2.78	2	0.61	100.34	1338	3.3	26.2	-14.1	9.3	303	761	2	0.65	2.35	1	0.58	2.58	2	0.4	83.06
"NULSAVEI"	"Neotoma"	3324	4316	"Nulsaveito"	70.166667	67.533333	"Asia"	1628	-2.5	22.5	-18.4	5.7	167	845	1	0.67	1.9	0.79	1.52	1	0.65	3	0.8	2.24	2	0.46	90.9	0.74	63.55	9.6	15.8	-11.4	-1.3	341	571	674	9.6	15.8	181	845	1	0.52	1.21	2	0.63	81.16	425	-11.1	-1.4	270	834	1	0.28	2.38	2	0.46	68.35	959	8.7	22.5	-11.1	5.7	346	569	2	0.72	1.47	2	0.59	2.41	1	0.18	52.39
"NUOCHAGA"	"Neotoma"	3325	4317	"Lake Nuochaga"	129.55584	61.30058	"Asia"	1249	2.7	24.2	-16.5	6.7	136	1128	1	0.57	2.54	0.71	2.07	2	0.74	3.12	0.77	2.95	1	0.67	105.61	0.75	93.06	13.8	17.5	-10.7	-4	338	496	421	13.8	17.4	170	1091	1	0.28	1	2	0.76	97.69	267	-10.7	-4.1	236	904	1	0.42	1.79	1	0.3	87.55	238	9.3	24.2	-14.7	6.7	342	494	2	0.74	1.71	2	0.66	2.3	1	0.12	38.67
"PETROP"	"Neotoma"	3350	4347	"Petropavlovka"	82.927095	58.38142	"Asia"	2133	3.3	33	-15.1	14.8	15	992	1	0.5	3.49	0.7	2.67	2	0.65	3.13	0.76	2.58	2	0.62	103.04	0.79	76.25	7.2	20.2	-11.3	5.3	354	719	1748	7.3	20.1	90	992	1	0.44	2.37	2	0.58	103.14	1886	-11.1	5.1	58	992	1	0.54	2.65	2	0.61	98.49	1141	3.5	26.2	-11.1	10.2	355	714	1	0.59	2.03	1	0.62	2.4	1	0.25	71.63
"TEGULD"	"Neotoma"	3462	4481	"Teguldet"	88.166667	57.333333	"Asia"	2073	3.3	33	-15.1	14.8	15	992	2	0.54	3.37	0.71	2.68	2	0.66	3.11	0.78	2.54	2	0.63	105.06	0.8	76.55	13.8	20.6	-5.2	5	404	808	1170	13.8	20.4	90	828	2	0.4	1.25	2	0.63	88.72	1319	-5.1	4.9	58	992	1	0.35	1.89	2	0.67	97.25	965	5.8	26.2	-11.1	9.3	407	805	1	0.47	1.93	1	0.61	2.33	1	0.22	78.68
"URMIA20"	"Neotoma"	3484	4504	"Lake Urmia"	45.466667	37.583333	"Asia"	890	8.6	33.9	-2.4	23.1	51	2121	2	0.4	3.37	0.63	2.67	2	0.6	3.12	0.76	2.44	2	0.52	177.81	0.7	140	19.6	24.4	5.9	11.7	229	616	427	19.7	24.3	186	2121	1	0.12	1.02	2	0.51	163.83	332	6	11.6	114	1007	2	0.52	1.28	1	0.45	99.96	481	14.3	32.7	1.8	19.3	234	614	1	0.22	2.64	1	0.61	2.59	2	0.29	71.46
"USTMASH"	"Neotoma"	3485	4505	"Ust'Mashevskoe"	57.883333	56.316667	"Asia"	1934	7.3	31.7	-10.4	17.4	98	2121	2	0.63	2.07	0.77	1.64	2	0.6	2.81	0.73	2.35	1	0.49	115.52	0.7	89.51	13.7	19.2	-5	4.7	467	658	1303	13.7	19.2	305	1293	1	0.39	1.08	2	0.5	73.64	1311	-5	4.6	179	1511	2	0.41	1.61	2	0.66	82.9	1162	8.2	25	-9.5	12.7	467	657	2	0.63	1.66	2	0.61	2.56	1	0.26	43.59
"ZERIBAR"	"Neotoma"	3521	4548	"Lake Zeribar"	46.116667	35.533333	"Asia"	701	8.6	33.9	-2.4	23.1	51	2121	1	0.3	3.61	0.64	2.59	2	0.5	3.23	0.72	2.41	2	0.55	190.96	0.72	150.82	17.1	25.5	2.8	12.2	226	932	493	17.3	25.4	130	2121	1	0.23	1.39	2	0.53	167.04	413	2.8	12.1	114	1467	1	0.45	1.93	2	0.59	111.13	561	8.6	32.7	-2.4	19.3	226	913	1	0.26	3.07	1	0.4	2.91	1	0.42	113.07
"HACHI-NU"	"Neotoma"	8578	13079	"Hachiman-Numa"	140.866667	39.95	"Asia"	1148	8.2	27.5	-4.7	19.1	280	3486	2	0.57	2.13	0.67	1.85	2	0.77	2.62	0.84	2.19	2	0.81	276.59	0.86	235.74	16.4	20.2	3.7	9.6	1198	1655	561	16.4	20.1	301	3486	1	0.13	1.04	2	0.81	241.31	403	3.8	9.6	370	3192	1	0.41	1.27	2	0.79	251.74	204	11.9	26.7	-2.4	15.9	1198	1654	2	0.65	1.77	2	0.67	2.09	1	0.19	120.18
"Iwaya"	"Neotoma"	9606	14134	"Iwaya site"	135.88674	35.51763	"Asia"	1425	8.2	29.4	-4.6	22.1	242	4360	2	0.6	2.32	0.7	2	2	0.78	2.84	0.83	2.47	2	0.82	295.24	0.88	241.54	17.2	21.3	3.4	11.8	981	1864	691	17.3	21.3	242	3486	1	0.07	1.02	2	0.84	235.37	622	3.4	11.8	282	4360	1	0.54	1.67	2	0.77	296.25	378	11.9	29.4	-2.4	20	984	1863	2	0.74	2.05	2	0.73	2.19	2	0.46	171.9
"HURLEG"	"Neotoma"	9861	14612	"Hurleg Lake"	96.90074	37.27446	"Asia"	2827	-6.5	33	-17.5	22	15	1832	2	0.55	4.41	0.68	3.71	2	0.6	4	0.7	3.49	1	0.76	155.49	0.85	124.37	14.4	21.9	-0.2	6.1	115	292	966	14.4	21.8	27	1743	1	0.23	1.73	2	0.83	104.94	996	-0.2	6	28	929	1	0.21	1.47	2	0.69	112.08	732	-6.5	29.5	-17.5	11.7	116	292	2	0.56	3.85	1	0.58	3.22	1	0.21	44.38
"ZOIGE08C1"	"Neotoma"	9864	14619	"Zoige Basin"	102.633333	33.45	"Asia"	2467	-6.5	33	-17.5	25.7	15	2250	2	0.69	4.16	0.78	3.45	2	0.78	3.87	0.84	3.34	2	0.87	180.81	0.91	150.65	-2.5	9.5	-11.3	-1.9	396	561	479	-2	9.5	43	782	1	0.09	1.85	1	0.56	96.29	491	-9.5	-2	43	782	1	0.21	1.82	1	0.57	92.34	440	2.8	27.6	-9.5	13.7	396	560	2	0.79	3.04	1	0.69	3.07	1	0.27	39.16
"TIANCHI"	"Neotoma"	9877	14648	"Tianchi Lake"	106.30884	35.264675	"Asia"	2694	-2	33	-15.4	25.7	15	4360	2	0.69	4.05	0.79	3.31	2	0.79	3.83	0.86	3.22	2	0.85	236.41	0.91	177.88	10.5	20.9	-0.9	6.4	294	862	1109	10.5	20.8	40	4360	1	0.39	2.44	2	0.82	194.23	977	-0.9	6.4	40	929	1	0.25	1.8	2	0.69	107.94	1344	-2	27.6	-15.4	20	294	858	1	0.64	3.75	2	0.56	3.59	1	0.57	96.09
"HACHIHAM"	"Neotoma"	10293	15612	"Hachihama"	133.95054	34.55226	"Asia"	1452	8.2	29.4	-4.6	22.1	222	4360	2	0.59	2.33	0.69	2.03	2	0.77	2.91	0.83	2.5	2	0.81	300.09	0.88	243.13	15.5	21.6	1	13.9	659	2235	901	15.5	21.6	227	3486	2	0.24	1.36	2	0.84	241.48	1020	1	13.8	222	4360	1	0.56	2.34	2	0.81	272.43	860	8.2	29.4	-4.6	22.1	660	2230	2	0.7	2.22	2	0.82	2.42	2	0.74	242.81
"HOSOIKE"	"Neotoma"	10297	15624	"Hosoike Moor"	134.133333	35.35	"Asia"	1536	8.2	29.4	-4.7	22.1	193	4360	2	0.6	2.3	0.7	2	2	0.77	2.95	0.84	2.48	2	0.82	293.46	0.88	238.37	17.3	21.2	3.2	10.2	943	1704	709	17.3	21.1	215	3486	1	0.06	0.98	2	0.85	230.22	599	3.2	10.2	193	4360	1	0.45	1.47	2	0.81	260.3	356	11.9	29.4	-2.4	20	963	1701	2	0.77	1.97	2	0.78	2.09	1	0.43	150.13
"IKENOKOC"	"Neotoma"	10310	15649	"Ikenokochi Moor"	136.13079	35.653925	"Asia"	1408	8.2	29.3	-4.6	22.1	248	4360	2	0.6	2.28	0.7	1.98	2	0.78	2.81	0.84	2.44	2	0.82	295.34	0.88	241.24	19.3	22.1	7.3	11.4	1148	1784	479	19.3	22	248	3294	1	0.28	0.75	2	0.88	228.07	207	7.3	11.3	377	4360	1	0.23	1.06	2	0.66	387.38	271	11.9	29.3	-2.4	20	1149	1781	2	0.69	1.91	2	0.7	2.16	1	0.29	146.54
"MAKURA"	"Neotoma"	10318	15665	"Makura Moor"	132.3875	34.730556	"Asia"	1598	8.2	29.4	-4.7	22.1	180	4360	2	0.61	2.28	0.71	1.99	2	0.77	2.98	0.84	2.49	2	0.82	292.85	0.88	236.81	18.6	21.2	5.1	8.6	939	1356	518	18.7	21.1	215	3421	1	0.04	0.63	2	0.86	224.87	267	5.1	8.5	271	3192	1	0.18	0.81	2	0.82	248.44	209	13.2	29	-0.8	20.8	963	1356	1	0.86	1.58	2	0.84	1.65	1	0.32	88.47
"OHNUMA"	"Neotoma"	10324	15678	"Ohnuma Moor"	134.566667	35.408333	"Asia"	1497	8.2	29.4	-4.7	22.1	215	4360	2	0.6	2.31	0.7	2.01	2	0.77	2.9	0.84	2.49	2	0.82	294.32	0.88	239.77	16.1	21.4	1.5	10	1015	1576	834	16.2	21.3	215	3486	1	0.12	1.24	2	0.85	234.25	788	1.5	10	217	4360	2	0.52	1.55	2	0.82	243.9	292	11.9	29.4	-2.4	20	1016	1575	2	0.81	1.79	2	0.79	2	1	0.38	124.95
"UBUKA"	"Neotoma"	10335	15704	"Ubuka Basin"	131.586111	34.490278	"Asia"	1666	8.2	29.4	-4.7	22.1	156	4360	2	0.61	2.29	0.72	1.96	2	0.76	3.1	0.85	2.5	2	0.81	297.8	0.89	233.68	15.6	21.8	1.1	11.7	928	1695	999	15.7	21.8	185	3486	1	0.17	1.44	2	0.84	240.51	993	1.1	11.7	156	4360	2	0.58	1.81	2	0.82	257.58	421	11.9	29.4	-2.4	21.7	963	1690	2	0.76	2.08	2	0.77	2.29	1	0.44	147.18
"YABITSU"	"Neotoma"	10338	15709	"Yabitsuyachi"	140.9	40.616667	"Asia"	1188	8.2	27.5	-4.7	19.1	239	3486	2	0.56	2.11	0.67	1.83	2	0.77	2.62	0.84	2.2	2	0.82	273.49	0.87	231.89	17.2	20.5	2	8.8	814	1556	540	17.2	20.5	280	3486	1	0.08	0.93	2	0.82	236.28	514	2.2	8.8	365	3192	1	0.41	1.31	2	0.79	226.85	298	8.7	27.3	-4.6	15.9	814	1552	2	0.64	1.97	2	0.71	2.26	2	0.54	140.48
